"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"130","ContractWeb API","0","All Endpoints","0","0","","0"
"1","ContractWeb API","0","Events","0","0","POST /api/v1/events/pre-process-status/{type}","0"
"1","ContractWeb API","0","Contratante","0","0","PUT /api/v1/contratante/{id}","0"
"1","ContractWeb API","0","Contratada","0","0","GET /api/v1/contratada/{id}","0"
"1","ContractWeb API","0","Contrato","0","0","GET /api/v1/contrato/{id}/contratada/{contratada_id}/operadores","0"
"1","ContractWeb API","0","Contratante","0","0","GET /api/v1/contratante/{id}/familia","0"
"1","ContractWeb API","0","Avisos","0","0","GET /api/v1/avisos/meus-avisos","0"
"1","ContractWeb API","0","Contratada","0","0","PATCH /api/v1/contratada/{id}","0"
"1","ContractWeb API","0","Contratante","0","0","PUT /api/v1/contratante/{id}/grupo-area","0"
"1","ContractWeb API","0","Contratada","0","0","PUT /api/v1/contratada/{id}","0"
"1","ContractWeb API","0","Avisos","0","0","GET /api/v1/avisos/{id}","0"
"1","ContractWeb API","0","Contrato","0","0","PUT /api/v1/contrato/{id}","0"
"1","ContractWeb API","0","AmostragemGrupoArea","0","0","DELETE /api/v1/amostragem-grupo-area/{id}","0"
"1","ContractWeb API","0","ContratadaContrato","0","0","DELETE /api/v1/contratada-contrato/{id}","0"
"1","ContractWeb API","0","Contratante","0","0","GET /api/v1/contratante/{id}","0"
"1","ContractWeb API","0","Avisos","0","0","DELETE /api/v1/avisos/{id}","0"
"1","ContractWeb API","0","Area","0","0","PUT /api/v1/area/{id}","0"
"1","ContractWeb API","0","Avisos","0","0","GET /api/v1/avisos","0"
"1","ContractWeb API","0","Contratada","0","0","POST /api/v1/contratada","0"
"1","ContractWeb API","0","AmostragemGrupoArea","0","0","GET /api/v1/amostragem-grupo-area/{id}","0"
"1","ContractWeb API","0","Contratante","0","0","GET /api/v1/contratante/{id}/grupo-area","0"
"1","ContractWeb API","0","Contrato","0","0","DELETE /api/v1/contrato/{id}","0"
"1","ContractWeb API","0","ClassificacaoColaborador","0","0","PUT /api/v1/classificacao-colaborador/{id}","0"
"1","ContractWeb API","0","Contrato","0","0","GET /api/v1/contrato/{id}","0"
"1","ContractWeb API","0","Contrato","0","0","GET /api/v1/contrato","0"
"1","ContractWeb API","0","ContratadaContrato","0","0","POST /api/v1/contratada-contrato","0"
"1","ContractWeb API","0","ClassificacaoColaborador","0","0","DELETE /api/v1/classificacao-colaborador/{id}","0"
"1","ContractWeb API","0","ClassificacaoColaborador","0","0","GET /api/v1/classificacao-colaborador/{id}","0"
"1","ContractWeb API","0","Area","0","0","GET /api/v1/area","0"
"1","ContractWeb API","0","AmostragemGrupoArea","0","0","GET /api/v1/amostragem-grupo-area","0"
"1","ContractWeb API","0","Contratante","0","0","GET /api/v1/contratante/{id}/grupo-area/{grupo-area-id}","0"
"1","","0","Authentication","0","0","","0"
"1","ContractWeb API","0","ClassificacaoColaborador","0","0","GET /api/v1/classificacao-colaborador","0"
"1","ContractWeb API","0","ContratadaContrato","0","0","GET /api/v1/contratada-contrato","0"
"1","ContractWeb API","0","Contratante","0","0","POST /api/v1/contratante","0"
"1","ContractWeb API","0","Contratante","0","0","PUT /api/v1/contratante/{id}/familia","0"
"1","ContractWeb API","0","Contrato","0","0","POST /api/v1/contrato","0"
"1","ContractWeb API","0","Area","0","0","POST /api/v1/area","0"
"1","ContractWeb API","0","Avisos","0","0","POST /api/v1/avisos","0"
"1","ContractWeb API","0","Area","0","0","DELETE /api/v1/area/{id}","0"
"1","ContractWeb API","0","AmostragemGrupoArea","0","0","PUT /api/v1/amostragem-grupo-area/{id}","0"
"1","ContractWeb API","0","Contratada","0","0","GET /api/v1/contratada","0"
"1","ContractWeb API","0","ContratadaContrato","0","0","GET /api/v1/contratada-contrato/{id}","0"
"1","ContractWeb API","0","ContratadaContrato","0","0","PUT /api/v1/contratada-contrato/{id}","0"
"1","ContractWeb API","0","Contratante","0","0","DELETE /api/v1/contratante/{id}","0"
"1","ContractWeb API","0","AmostragemGrupoArea","0","0","POST /api/v1/amostragem-grupo-area","0"
"1","ContractWeb API","0","Area","0","0","GET /api/v1/area/{id}","0"
"1","ContractWeb API","0","Contratante","0","0","GET /api/v1/contratante","0"
"1","ContractWeb API","0","Events","0","0","POST /api/v1/events/{type}","0"
"1","ContractWeb API","0","ClassificacaoColaborador","0","0","POST /api/v1/classificacao-colaborador","0"
"1","ContractWeb API","0","Contratada","0","0","DELETE /api/v1/contratada/{id}","0"
"1","ContractWeb API","0","Avisos","0","0","PUT /api/v1/avisos/{id}","0"
