"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test one endpoint (one test per endpoint via parametrize ids).","230","test_endpoint[GET__contratada_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","213","test_endpoint[DELETE__avisos_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test deleting Contratada Contrato.","196","Delete Contratada Contrato","tests.contratada_contrato","2026-06-25","skipped","2026-06-25","TestDeleteContratadaContrato","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","195","test_endpoint[POST__suporte_cartilha_upload_pasta]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","209","test_endpoint[GET__grupo-contratante_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","187","test_endpoint[POST__avisos]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test deleting Contratada.","391","Delete Contratada","tests.contratada","2026-06-25","failed","2026-06-25","TestDeleteContratada","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","189","test_endpoint[POST__grupo-area]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","199","test_endpoint[PATCH__contratada_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","226","test_endpoint[GET__classificacao-colaborador_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting Amostragem Grupo Area by ID.","430","Get Amostragem Grupo Area by ID","tests.amostragem_grupo_area","2026-06-25","passed","2026-06-25","TestGetAmostragemGrupoAreaById","test_get_by_id","",""
"Test creating Area.","293","Create Area","tests.area","2026-06-25","failed","2026-06-25","TestCreateArea","test_create","",""
"Test one endpoint (one test per endpoint via parametrize ids).","212","test_endpoint[GET__contratante_id_familia]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","189","test_endpoint[GET__avisos_meus-avisos]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Verify login endpoint returns a bearer token.","2185","Should login and return a valid token","tests","2026-06-25","passed","2026-06-25","TestAuth","test_auth","",""
"Test getting all Contratada Contrato.","196","Get all Contratada Contrato","tests.contratada_contrato","2026-06-25","skipped","2026-06-25","TestGetAllContratadaContrato","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","188","test_endpoint[PUT__sub-familia_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","210","test_endpoint[PUT__contratante_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","214","test_endpoint[GET__familia_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test updating Area.","384","Update Area","tests.area","2026-06-25","failed","2026-06-25","TestUpdateArea","test_update","",""
"Test getting Avisos do Operador Autenticado.","187","Get Avisos do Operador Autenticado","tests.avisos","2026-06-25","failed","2026-06-25","TestGetMeusAvisos","test_get_meus_avisos","",""
"Test one endpoint (one test per endpoint via parametrize ids).","200","test_endpoint[POST__unidade-contratante]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","805","test_endpoint[GET__video-cast_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test updating Classificacao Colaborador.","417","Update Classificacao Colaborador","tests.classificacao_colaborador","2026-06-25","failed","2026-06-25","TestUpdateClassificacaoColaborador","test_update","",""
"Test one endpoint (one test per endpoint via parametrize ids).","192","test_endpoint[GET__grupo-area]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","222","test_endpoint[GET__grupo-area_id_checklist]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","196","test_endpoint[GET__familia]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test creating an event.","184","Create Event","tests","2026-06-25","failed","2026-06-25","TestEvents","test_events","",""
"Test creating Classificacao Colaborador.","227","Create Classificacao Colaborador","tests.classificacao_colaborador","2026-06-25","passed","2026-06-25","TestCreateClassificacaoColaborador","test_create","",""
"Test getting Objetos de Mobilização do Grupo de Area atrelados a Contratante.","588","Get Objetos de Mobilização do Grupo de Area atrelados a Contratante","tests.contratante","2026-06-25","passed","2026-06-25","TestGetContratanteGrupoAreaById","test_get_grupo_area_by_id","",""
"Test updating Contratada Contrato.","194","Update Contratada Contrato","tests.contratada_contrato","2026-06-25","skipped","2026-06-25","TestUpdateContratadaContrato","test_update","",""
"Test one endpoint (one test per endpoint via parametrize ids).","204","test_endpoint[DELETE__amostragem-grupo-area_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","208","test_endpoint[GET__local-servico]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","192","test_endpoint[PUT__grupo-area_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","249","test_endpoint[GET__contrato_id_contratada_contratada_id_operadores]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting all Avisos.","191","Get all Avisos","tests.avisos","2026-06-25","skipped","2026-06-25","TestGetAllAvisos","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","214","test_endpoint[GET__amostragem-grupo-area_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","481","test_endpoint[DELETE__contrato_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting Contrato by ID.","556","Get Contrato by ID","tests.contrato","2026-06-25","passed","2026-06-25","TestGetContratoById","test_get_by_id","",""
"Test one endpoint (one test per endpoint via parametrize ids).","188","test_endpoint[POST__contratante]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","212","test_endpoint[GET__objeto-oficial_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","211","test_endpoint[GET__classificacao-colaborador]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","204","test_endpoint[DELETE__objeto-oficial_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","189","test_endpoint[POST__risco]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","211","test_endpoint[GET__avisos]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","180","test_endpoint[POST__video-cast_callback]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","970","test_endpoint[GET__amostragem-grupo-area]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","192","test_endpoint[POST__operador]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test deleting Aviso.","193","Delete Aviso","tests.avisos","2026-06-25","skipped","2026-06-25","TestDeleteAvisos","test_delete","",""
"Test deleting Amostragem Grupo Area.","384","Delete Amostragem Grupo Area","tests.amostragem_grupo_area","2026-06-25","passed","2026-06-25","TestDeleteAmostragemGrupoArea","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","194","test_endpoint[PUT__grupo-faturamento_grupoFaturamentoId_faixa-faturamento_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","200","test_endpoint[PUT__grupo-area_id_calendario]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","187","test_endpoint[POST__contratada]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","186","test_endpoint[POST__events_type]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","218","test_endpoint[GET__grupo-area_id_calendario]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting Contratada by ID.","423","Get Contratada by ID","tests.contratada","2026-06-25","passed","2026-06-25","TestGetContratadaById","test_get_by_id","",""
"Test one endpoint (one test per endpoint via parametrize ids).","206","test_endpoint[GET__perfil-acesso]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test creating Aviso.","184","Create Aviso","tests.avisos","2026-06-25","failed","2026-06-25","TestCreateAvisos","test_create","",""
"Test deleting Area.","416","Delete Area","tests.area","2026-06-25","failed","2026-06-25","TestDeleteArea","test_delete","",""
"Test one endpoint (one test per endpoint via parametrize ids).","194","test_endpoint[PUT__grupo-contratante_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","211","test_endpoint[POST__contratada-contrato]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","190","test_endpoint[GET__perfil-acesso_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","392","test_endpoint[GET__contratante_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","202","test_endpoint[DELETE__classificacao-colaborador_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","355","test_endpoint[GET__contrato_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","215","test_endpoint[GET__operador]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","248","test_endpoint[GET__contratada-contrato]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","219","test_endpoint[GET__local-servico_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","196","test_endpoint[GET__contratante]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","207","test_endpoint[DELETE__familia_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","198","test_endpoint[PUT__grupo-faturamento_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","200","test_endpoint[POST__sub-familia]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","204","test_endpoint[DELETE__sub-familia_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","196","test_endpoint[PUT__amostragem-grupo-area_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
